#     Step;    Sim. Time;   Iter;    t_Ener;    t_Grad;       Temp;       E_Kin;           E_Pot;           E_Tot;        Cons.Qty;   E.Drift
       153;         76.5;      9;     14.18;      6.48;    1207.07;    0.177749;     -926.339676;     -926.161927;     -926.022316;     -0.66
       154;         77.0;      7;     11.87;      6.48;    1194.91;    0.175959;     -926.338520;     -926.162561;     -926.022287;     -0.57
       155;         77.5;      8;     12.96;      6.44;    1188.74;    0.175050;     -926.338263;     -926.163213;     -926.022282;     -0.55
       156;         78.0;      7;     11.87;      6.44;    1189.08;    0.175099;     -926.338989;     -926.163890;     -926.022300;     -0.61
       157;         78.5;      8;     12.99;      6.42;    1193.94;    0.175815;     -926.340402;     -926.164587;     -926.022336;     -0.73
       158;         79.0;      9;     14.01;      6.40;    1199.70;    0.176664;     -926.341952;     -926.165289;     -926.022372;     -0.85
       159;         79.5;      8;     12.89;      6.38;    1202.70;    0.177105;     -926.343082;     -926.165977;     -926.022392;     -0.92
       160;         80.0;      8;     12.84;      6.37;    1200.87;    0.176835;     -926.343474;     -926.166639;     -926.022387;     -0.91
       161;         80.5;      8;     12.89;      6.38;    1194.75;    0.175935;     -926.343207;     -926.167273;     -926.022359;     -0.81
       162;         81.0;      9;     14.02;      6.43;    1187.28;    0.174835;     -926.342727;     -926.167892;     -926.022322;     -0.68
       163;         81.5;      9;     13.94;      6.47;    1182.31;    0.174103;     -926.342622;     -926.168519;     -926.022296;     -0.59
       164;         82.0;      7;     11.77;      6.58;    1182.53;    0.174135;     -926.343308;     -926.169173;     -926.022297;     -0.60
       165;         82.5;      9;     14.31;      6.58;    1187.87;    0.174922;     -926.344781;     -926.169860;     -926.022327;     -0.70
       166;         83.0;      9;     14.37;      6.48;    1195.38;    0.176028;     -926.346596;     -926.170568;     -926.022373;     -0.86
       167;         83.5;      9;     14.21;      6.36;    1200.31;    0.176753;     -926.348032;     -926.171278;     -926.022417;     -1.01
       168;         84.0;      8;     12.84;      6.27;    1198.13;    0.176433;     -926.348395;     -926.171962;     -926.022435;     -1.07
       169;         84.5;      8;     12.76;      6.26;    1186.89;    0.174777;     -926.347372;     -926.172596;     -926.022413;     -0.99
       170;         85.0;      9;     13.68;      6.26;    1168.66;    0.172092;     -926.345273;     -926.173181;     -926.022356;     -0.80
       171;         85.5;      9;     13.71;      6.22;    1148.94;    0.169189;     -926.342936;     -926.173747;     -926.022293;     -0.59
       172;         86.0;      9;     13.63;      6.21;    1133.83;    0.166963;     -926.341293;     -926.174329;     -926.022259;     -0.47
       173;         86.5;      9;     13.54;      6.21;    1126.77;    0.165924;     -926.340874;     -926.174950;     -926.022267;     -0.50
       174;         87.0;      7;     11.41;      6.18;    1127.11;    0.165974;     -926.341579;     -926.175605;     -926.022310;     -0.64
       175;         87.5;      9;     13.52;      6.21;    1130.76;    0.166512;     -926.342787;     -926.176275;     -926.022366;     -0.83
       176;         88.0;      8;     12.44;      6.13;    1132.36;    0.166747;     -926.343684;     -926.176937;     -926.022411;     -0.99
       177;         88.5;      8;     12.44;      6.12;    1127.64;    0.166053;     -926.343620;     -926.177567;     -926.022429;     -1.05
       178;         89.0;      8;     12.35;      6.15;    1115.21;    0.164223;     -926.342376;     -926.178153;     -926.022412;     -0.99
       179;         89.5;      8;     12.25;      6.11;    1097.33;    0.161589;     -926.340284;     -926.178695;     -926.022364;     -0.83
       180;         90.0;     10;     14.21;      6.08;    1079.28;    0.158932;     -926.338145;     -926.179214;     -926.022306;     -0.63
       181;         90.5;      9;     13.13;      6.12;    1067.27;    0.157163;     -926.336905;     -926.179742;     -926.022267;     -0.50
       182;         91.0;      9;     13.16;      6.15;    1065.37;    0.156882;     -926.337195;     -926.180312;     -926.022271;     -0.51
       183;         91.5;      6;      9.92;      6.10;    1073.18;    0.158032;     -926.338965;     -926.180933;     -926.022319;     -0.67
       184;         92.0;      8;     12.05;      6.06;    1085.51;    0.159849;     -926.341436;     -926.181587;     -926.022392;     -0.92
       185;         92.5;      8;     12.04;      6.04;    1094.73;    0.161207;     -926.343444;     -926.182237;     -926.022454;     -1.13
       186;         93.0;      8;     12.09;      6.07;    1094.69;    0.161200;     -926.344038;     -926.182838;     -926.022467;     -1.18
       187;         93.5;      8;     12.03;      6.02;    1084.06;    0.159636;     -926.343009;     -926.183373;     -926.022422;     -1.02
       188;         94.0;      8;     12.17;      6.05;    1067.26;    0.157161;     -926.341023;     -926.183862;     -926.022343;     -0.75
       189;         94.5;      9;     13.07;      6.01;    1052.01;    0.154916;     -926.339264;     -926.184348;     -926.022272;     -0.51
       190;         95.0;      7;     10.99;      6.01;    1045.26;    0.153922;     -926.338793;     -926.184871;     -926.022244;     -0.42
       191;         95.5;      7;     10.99;      6.03;    1049.66;    0.154569;     -926.340021;     -926.185452;     -926.022270;     -0.51
       192;         96.0;      8;     12.08;      6.01;    1062.52;    0.156464;     -926.342543;     -926.186080;     -926.022334;     -0.72
       193;         96.5;      8;     12.06;      5.97;    1077.38;    0.158651;     -926.345378;     -926.186728;     -926.022406;     -0.97
       194;         97.0;      8;     12.04;      5.98;    1086.87;    0.160048;     -926.347412;     -926.187364;     -926.022460;     -1.15
       195;         97.5;      9;     13.07;      5.98;    1085.66;    0.159871;     -926.347832;     -926.187961;     -926.022476;     -1.21
       196;         98.0;      9;     12.98;      5.95;    1072.52;    0.157936;     -926.346438;     -926.188501;     -926.022445;     -1.10
       197;         98.5;      9;     12.98;      5.93;    1051.11;    0.154783;     -926.343769;     -926.188986;     -926.022374;     -0.86
       198;         99.0;      9;     12.92;      5.94;    1029.05;    0.151535;     -926.340978;     -926.189443;     -926.022292;     -0.58
       199;         99.5;      7;     11.01;      5.92;    1014.86;    0.149445;     -926.339368;     -926.189922;     -926.022242;     -0.41
       200;        100.0;      9;     12.95;      6.01;    1013.52;    0.149248;     -926.339714;     -926.190466;     -926.022257;     -0.46
       201;        100.5;      9;     13.10;      6.02;    1023.37;    0.150697;     -926.341776;     -926.191079;     -926.022334;     -0.73
       202;        101.0;      9;     13.08;      5.99;    1036.64;    0.152653;     -926.344371;     -926.191719;     -926.022430;     -1.05
       203;        101.5;      9;     13.01;      5.98;    1043.80;    0.153707;     -926.346036;     -926.192329;     -926.022490;     -1.25
       204;        102.0;      9;     12.83;      5.88;    1038.77;    0.152966;     -926.345835;     -926.192869;     -926.022483;     -1.23
       205;        102.5;      9;     12.87;      5.87;    1022.21;    0.150527;     -926.343861;     -926.193334;     -926.022413;     -0.99
       206;        103.0;      9;     12.78;      5.87;    1001.00;    0.147405;     -926.341163;     -926.193759;     -926.022319;     -0.67
       207;        103.5;      7;     10.67;      5.87;     984.60;    0.144989;     -926.339184;     -926.194195;     -926.022249;     -0.44
       208;        104.0;      8;     11.69;      5.85;     980.04;    0.144318;     -926.339004;     -926.194686;     -926.022237;     -0.40
       209;        104.5;      7;     10.63;      5.90;     988.67;    0.145588;     -926.340830;     -926.195242;     -926.022283;     -0.55
       210;        105.0;      8;     11.94;      5.90;    1005.90;    0.148125;     -926.343969;     -926.195844;     -926.022363;     -0.82
       211;        105.5;      8;     11.76;      5.87;    1023.75;    0.150753;     -926.347212;     -926.196458;     -926.022441;     -1.09
       212;        106.0;      8;     11.76;      5.82;    1034.30;    0.152308;     -926.349359;     -926.197051;     -926.022491;     -1.26
       213;        106.5;      9;     12.68;      5.82;    1032.69;    0.152070;     -926.349667;     -926.197597;     -926.022494;     -1.27
       214;        107.0;      9;     12.63;      5.80;    1018.99;    0.150053;     -926.348133;     -926.198080;     -926.022446;     -1.10
       215;        107.5;      9;     12.78;      5.82;     998.60;    0.147051;     -926.345561;     -926.198511;     -926.022360;     -0.81
       216;        108.0;      7;     10.59;      5.82;     980.44;    0.144377;     -926.343308;     -926.198931;     -926.022277;     -0.53
       217;        108.5;      7;     10.59;      5.88;     972.74;    0.143242;     -926.342642;     -926.199400;     -926.022247;     -0.43
       218;        109.0;      8;     11.64;      5.81;     978.20;    0.144047;     -926.343996;     -926.199949;     -926.022295;     -0.59
       219;        109.5;      9;     12.62;      5.81;     991.94;    0.146069;     -926.346629;     -926.200560;     -926.022393;     -0.93
       220;        110.0;      9;     12.60;      5.81;    1004.07;    0.147856;     -926.349027;     -926.201171;     -926.022484;     -1.23
       221;        110.5;      9;     12.55;      5.78;    1005.49;    0.148065;     -926.349791;     -926.201726;     -926.022516;     -1.34
       222;        111.0;      9;     12.55;      5.75;     992.84;    0.146202;     -926.348403;     -926.202200;     -926.022478;     -1.21
       223;        111.5;      9;     12.64;      5.73;     969.96;    0.142833;     -926.345443;     -926.202610;     -926.022392;     -0.92
       224;        112.0;      9;     12.54;      5.76;     945.57;    0.139241;     -926.342238;     -926.202997;     -926.022302;     -0.61
       225;        112.5;      7;     10.49;      5.73;     928.93;    0.136790;     -926.340200;     -926.203409;     -926.022248;     -0.43
       226;        113.0;      7;     10.42;      5.76;     925.60;    0.136301;     -926.340178;     -926.203876;     -926.022252;     -0.45
       227;        113.5;      8;     11.52;      5.72;     935.32;    0.137732;     -926.342134;     -926.204402;     -926.022308;     -0.64
       228;        114.0;      8;     11.52;      5.71;     952.55;    0.140269;     -926.345233;     -926.204964;     -926.022387;     -0.91
